dataset_id,source,source_id,source_url,source_version,accessed_at_utc,license_or_terms,download_method,source_file_name,local_path,raw_sha256,file_size_bytes,download_status,notes
letter,OpenML (original UCI),openml:6,https://openml.org/data/v1/download/6/letter.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C5ZP40); OpenML public",sklearn.datasets.fetch_openml(data_id=6; as_frame=True; parser=auto),letter.csv,data/raw/letter.csv,04d180e7111360195943813cf6951bf037405d44cfe117132bd424fc8ee44795,732667,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/59/letter%2Brecognition2."
vehicle,OpenML (original UCI),openml:54,https://openml.org/data/v1/download/54/vehicle.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C5HG6N); OpenML public",sklearn.datasets.fetch_openml(data_id=54; as_frame=True; parser=auto),vehicle.csv,data/raw/vehicle.csv,017265c5a0676cac429654eda70051520df5590487dbe3b996846b6a58f694a3,56301,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/149/statlog%2Bvehicle%2Bsilhouettes."
page_blocks,OpenML (original UCI),openml:30,https://openml.org/data/v1/download/30/page-blocks.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C5J590); OpenML public",sklearn.datasets.fetch_openml(name=page-blocks; version=1; as_frame=True; parser=auto),page_blocks.csv,data/raw/page_blocks.csv,7ac49d18d87dfc712621150a81e036ed238ea05aa1dcb39748760e5d9acf8d1e,246396,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/78/page%2Bblocks%2Bclassifica."
yeast,OpenML (original UCI),openml:181,https://openml.org/data/v1/download/3616/yeast.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C5KG68); OpenML public",sklearn.datasets.fetch_openml(data_id=181; as_frame=True; parser=auto),yeast.csv,data/raw/yeast.csv,743448d2ba31e10b538cf10ef03b03c6b04222ad6e32c4873ba0b07d252dcdc0,63076,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/110/yeast."
abalone,OpenML (original UCI),openml:183,https://openml.org/data/v1/download/3620/abalone.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C55C7W); OpenML public",sklearn.datasets.fetch_openml(data_id=183; as_frame=True; parser=auto),abalone.csv,data/raw/abalone.csv,75d2f1f4dabc1ea4ee07cb30bae2e32ffcb8f064b9bc486b5108b93fb84548f9,196162,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/1/abalone."
cmc,OpenML (original UCI),openml:23,https://openml.org/data/v1/download/23/cmc.arff,1,2026-08-07T17:06:44Z,"UCI CC BY 4.0 (DOI 10.24432/C59W2D); OpenML public",sklearn.datasets.fetch_openml(data_id=23; as_frame=True; parser=auto),cmc.csv,data/raw/cmc.csv,0a42de56db54f5e51830227dfc3efa2bee3120f2634dc623ed99dad0459ec5b3,32632,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/30/contraceptive%26."
glass,OpenML (original UCI),openml:41,https://openml.org/data/v1/download/41/glass.arff,1,2026-08-07T17:53:30Z,"UCI CC BY 4.0 (DOI 10.24432/C5WW2P); OpenML public",sklearn.datasets.fetch_openml(name=glass; version=1; as_frame=True; parser=auto),glass.csv,data/raw/glass.csv,bb06702a7c96a667a0781150e3a70d5b3080a976cdccd7c7f242f78e23a7ad11,14033,downloaded,"CSV materialized locally from OpenML response; raw files remain ignored; canonical UCI source is https://archive.ics.uci.edu/dataset/42/glass%2Bidentification."
balance_scale,OpenML (original UCI),openml:11,https://openml.org/data/v1/download/11/balance-scale.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=11; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,balance_scale.csv,data/raw/balance_scale.csv,00875c2d2311f78d06c4a997a390839712a9f4734eb9a030a56aed9e0df887f4,6936,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
mfeat_factors,OpenML (original UCI),openml:12,https://openml.org/data/v1/download/12/mfeat-factors.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=12; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,mfeat_factors.csv,data/raw/mfeat_factors.csv,38417909bac6f47c555b9ac3560be134ee53e1c6965a3c181a85fe6ffae45bb5,1470384,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
mfeat_fourier,OpenML (original UCI),openml:14,https://openml.org/data/v1/download/14/mfeat-fourier.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=14; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,mfeat_fourier.csv,data/raw/mfeat_fourier.csv,4937f83a8d3afceaf590c9f9d23fa0db47fb1059badc523c2a1890a28ed9e1a0,1661852,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
