dataset_id,source_id,target_column,categorical_columns,notes
openml_6_letter,openml:6,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_11_balance_scale,openml:11,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_12_mfeat_factors,openml:12,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_23_cmc,openml:23,Contraceptive_method_used,Wifes_education;Husbands_education;Wifes_religion;Wifes_now_working%3F;Husbands_occupation;Standard-of-living_index;Media_exposure,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_28_optdigits,openml:28,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_35_dermatology,openml:35,class,erythema;scaling;definite_borders;itching;koebner_phenomenon;polygonal_papules;follicular_papules;oral_mucosal_involvement;knee_and_elbow_involvement;scalp_involvement;family_history;melanin_incontinence;eosinophils_in_the_infiltrate;PNL_infiltrate;fibrosis_of_the_papillary_dermis;exocytosis;acanthosis;hyperkeratosis;parakeratosis;clubbing_of_the_rete_ridges;elongation_of_the_rete_ridges;thinning_of_the_suprapapillary_epidermis;spongiform_pustule;munro_microabcess;focal_hypergranulosis;disappearance_of_the_granular_layer;vacuolisation_and_damage_of_basal_layer;spongiosis;saw-tooth_appearance_of_retes;follicular_horn_plug;perifollicular_parakeratosis;inflammatory_monoluclear_inflitrate;band-like_infiltrate,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_61_iris,openml:61,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_185_baseball,openml:185,Hall_of_Fame,Position,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_187_wine,openml:187,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_188_eucalyptus,openml:188,Utility,Abbrev;Locality;Map_Ref;Latitude;Sp,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_327_bridges,openml:327,TYPE,RIVER;LOCATION;PURPOSE;CLEAR-G;T-OR-D;MATERIAL;SPAN;REL-L,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_329_hayes_roth,openml:329,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_338_grub_damage,openml:338,GG_new,year_zone;year;damage_rankRJT;damage_rankALL;dry_or_irr;zone,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_373_unix_user_data,openml:373,user,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_452_analcatdata_broadwaymult,openml:452,Count,Show;Type;Revival;Award,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_455_cars,openml:455,origin,cylinders,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_458_analcatdata_authorship,openml:458,Author,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_473_cjs,openml:473,TR,TREE;BR,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_694_diggle_table_a2,openml:694,col_1,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1100_popularkids,openml:1100,Goals,Gender;Race;Urban/Rural;School,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1459_artificial_characters,openml:1459,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1466_cardiotocography,openml:1466,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1468_cnae_9,openml:1468,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1475_first_order_theorem_proving,openml:1475,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1499_seeds,openml:1499,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1508_user_knowledge,openml:1508,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1519_robot_failures_lp4,openml:1519,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1523_vertebra_column,openml:1523,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_1559_breast_tissue,openml:1559,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40474_thyroid_allbp,openml:40474,Class,V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V19;V21;V23;V25,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40671_ecoli,openml:40671,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40691_wine_quality_red,openml:40691,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40700_cars1,openml:40700,class,cylinders,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40982_steel_plates_fault,openml:40982,target,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_40985_tamilnadu_electricity,openml:40985,Class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41082_usps,openml:41082,int0,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41164_fabert,openml:41164,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41168_jannis,openml:41168,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41169_helena,openml:41169,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41440_okcupid_stem,openml:41440,job,body_type;diet;drinks;drugs;education;ethnicity;income;location;offspring;orientation;pets;religion;sex;sign;smokes;speaks;status,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41671_microaggregation2,openml:41671,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41701_cpmp_2015_classification,openml:41701,algorithm,runstatus,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41705_asp_potassco_classification,openml:41705,algorithm,runstatus,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_41919_cpmp_2015_runtime_classification,openml:41919,algorithm,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_42345_traffic_violations,openml:42345,Violation.Type,Description;Belts;Personal.Injury;Property.Damage;Commercial.License;Commercial.Vehicle;State;VehicleType;Make;Model;Color;Charge;Contributed.To.Accident;Race;Gender;Driver.City;Driver.State;DL.State;Arrest.Type,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_42585_penguins,openml:42585,species,island;sex,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_45714_pricerunner,openml:45714,category_label,cluster_label,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_45968_braidflowsessionlevel,openml:45968,flow_state,task_braid;study;paper_ref;gender;ethnicity;dexterity,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46336_hayes_roth_clean,openml:46336,class,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46443_credit_risk_china,openml:46443,five_categories,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46519_credit_risk_modeling,openml:46519,approved_flag,maritalstatus;education;gender;last_prod_enq2;first_prod_enq2,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46807_melbourne_airbnb,openml:46807,price_label,host_verifications_jumio;host_verifications_government_id;host_verifications_kba;host_verifications_zhima_selfie;host_verifications_facebook;host_verifications_work_email;host_verifications_google;host_verifications_sesame;host_verifications_manual_online;host_verifications_manual_offline;host_verifications_offline_government_id;host_verifications_selfie;host_verifications_reviews;host_verifications_identity_manual;host_verifications_sesame_offline;host_verifications_weibo;host_verifications_email;host_verifications_sent_id;host_verifications_phone,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46936_internet_firewall,openml:46936,Action,,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46943_mic,openml:46943,LET_IS,SEX;INF_ANAM;STENOK_AN;FK_STENOK;IBS_POST;IBS_NASL;GB;SIM_GIPERT;DLIT_AG;ZSN_A;nr_11;nr_01;nr_02;nr_03;nr_04;nr_07;nr_08;np_01;np_04;np_05;np_07;np_08;np_09;np_10;endocr_01;endocr_02;endocr_03;zab_leg_01;zab_leg_02;zab_leg_03;zab_leg_04;zab_leg_06;O_L_POST;K_SH_POST;MP_TP_POST;SVT_POST;GT_POST;FIB_G_POST;ant_im;lat_im;inf_im;post_im;IM_PG_P;ritm_ecg_p_01;ritm_ecg_p_02;ritm_ecg_p_04;ritm_ecg_p_06;ritm_ecg_p_07;ritm_ecg_p_08;n_r_ecg_p_01;n_r_ecg_p_02;n_r_ecg_p_03;n_r_ecg_p_04;n_r_ecg_p_05;n_r_ecg_p_06;n_r_ecg_p_08;n_r_ecg_p_09;n_r_ecg_p_10;n_p_ecg_p_01;n_p_ecg_p_03;n_p_ecg_p_04;n_p_ecg_p_05;n_p_ecg_p_06;n_p_ecg_p_07;n_p_ecg_p_08;n_p_ecg_p_09;n_p_ecg_p_10;n_p_ecg_p_11;n_p_ecg_p_12;fibr_ter_01;fibr_ter_02;fibr_ter_03;fibr_ter_05;fibr_ter_06;fibr_ter_07;fibr_ter_08;GIPO_K;GIPER_NA;TIME_B_S;R_AB_1_n;R_AB_2_n;R_AB_3_n;NA_KB;NOT_NA_KB;LID_KB;NITR_S;NOT_NA_1_n;LID_S_n;B_BLOK_S_n;ANT_CA_S_n;GEPAR_S_n;ASP_S_n;TIKL_S_n;TRENT_S_n;FIBR_PREDS;PREDS_TAH;JELUD_TAH;FIBR_JELUD;A_V_BLOK;OTEK_LANC;RAZRIV;DRESSLER;ZSN;REC_IM;P_IM_STEN,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46955_sdss17,openml:46955,ObjectType,plate;fiber_ID,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
openml_46960_students_dropout_and_academic_success,openml:46960,AcademicOutcome,Marital_status;Application_mode;Course;Daytimeevening_attendance;Previous_qualification;Nationality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;International,Derived from materialized OpenML dtypes; review semantic encodings before protocol freeze.
