dataset_id,display_name,source,source_id,source_url,license_or_terms,source_version,raw_sha256,task_type,target_column,n_rows,n_classes,class_counts,ir_majority_minority,n_min_class,d_raw,d_encoded,feature_type,has_missing,has_groups,has_time_order,has_duplicates,leakage_status,eligible,exclusion_reason,applicable_families,notes
letter,Letter Recognition,OpenML (original UCI),openml:6,https://openml.org/data/v1/download/6/letter.arff,"UCI CC BY 4.0 (DOI 10.24432/C5ZP40); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,04d180e7111360195943813cf6951bf037405d44cfe117132bd424fc8ee44795,single-label-classification,class,20000,26,"A:789|B:766|C:736|D:805|E:768|F:775|G:773|H:734|I:755|J:747|K:739|L:761|M:792|N:783|O:753|P:803|Q:783|R:758|S:748|T:796|U:813|V:764|W:752|X:787|Y:786|Z:734",1.1076294277929155,734,16,,numeric,False,False,False,True,"pass; source describes unique stimuli; no feature-group target conflicts; no model identifier retained",False,"defer: corrected Stage 0 pilot exceeded the 900-second runtime budget before complete artifacts; revisit only through protocol-preserving optimization or an approved resource-budget amendment","numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/59/letter%2Brecognition2; source-provided first-16000/last-4000 convention is not treated as temporal; 1332 duplicate full rows and 2177 duplicate feature rows observed; quantized feature collisions retained for review."
vehicle,Vehicle Silhouettes,OpenML (original UCI),openml:54,https://openml.org/data/v1/download/54/vehicle.arff,"UCI CC BY 4.0 (DOI 10.24432/C5HG6N); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,017265c5a0676cac429654eda70051520df5590487dbe3b996846b6a58f694a3,single-label-classification,Class,846,4,"bus:218|opel:212|saab:217|van:199",1.0954773869346734,199,18,,numeric,False,True,False,False,"group-risk; four physical models and multiple orientation sets; no group identifier in CSV",False,exclude: repeated physical vehicles/related views cannot use valid grouped CV with available fields,"numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/149/statlog%2Bvehicle%2Bsilhouettes; source describes four physical models and repeated orientation sets, so random row splits risk model-identity leakage."
page_blocks,Page Blocks,OpenML (original UCI),openml:30,https://openml.org/data/v1/download/30/page-blocks.arff,"UCI CC BY 4.0 (DOI 10.24432/C5J590); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,7ac49d18d87dfc712621150a81e036ed238ea05aa1dcb39748760e5d9acf8d1e,single-label-classification,class,5473,5,"1:4913|2:329|3:28|4:88|5:115",175.46428571428572,28,10,,numeric,False,True,False,True,"group-risk; 54 source documents and 13 conflicting duplicate-feature groups; document ID unavailable",False,exclude: valid document-grouped split unavailable and duplicate-feature label conflicts unresolved,"numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/78/page%2Bblocks%2Bclassifica; UCI identifies 54 distinct documents, but the downloaded modelling table has no document identifier; 67 duplicate full rows and 125 duplicate feature rows observed."
yeast,Yeast Protein Localization,OpenML (original UCI),openml:181,https://openml.org/data/v1/download/3616/yeast.arff,"UCI CC BY 4.0 (DOI 10.24432/C5KG68); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,743448d2ba31e10b538cf10ef03b03c6b04222ad6e32c4873ba0b07d252dcdc0,single-label-classification,class_protein_localization,1484,10,"CYT:463|ERL:5|EXC:35|ME1:44|ME2:51|ME3:163|MIT:244|NUC:429|POX:20|VAC:30",92.6,5,8,,numeric,False,False,False,True,"pass; source ID excluded as row identifier; no feature-group target conflicts",True,,"numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/110/yeast; n_min_class=5 meets the provisional five-fold/k=3 feasibility floor; 31 duplicate full rows and 62 duplicate feature rows observed."
abalone,Abalone Rings,OpenML (original UCI),openml:183,https://openml.org/data/v1/download/3620/abalone.arff,"UCI CC BY 4.0 (DOI 10.24432/C55C7W); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,75d2f1f4dabc1ea4ee07cb30bae2e32ffcb8f064b9bc486b5108b93fb84548f9,single-label-classification,Class_number_of_rings,4177,28,"1:1|2:1|3:15|4:57|5:115|6:259|7:391|8:568|9:689|10:634|11:487|12:267|13:203|14:126|15:103|16:67|17:58|18:42|19:32|20:26|21:14|22:6|23:9|24:2|25:1|26:1|27:2|29:1",689,1,8,,mixed,False,False,False,False,"pass; target is rings; no feature-group target conflicts",False,exclude unchanged 28-class target has minority support 1; source-described 3-class recoding not yet materialized,"mixed;raw;class_weighted;random_over;random_under;smotenc;smotetomek;smoteenn;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/1/abalone; semantic Sex feature retained as categorical; source documents classification and regression uses but this registry preserves the ungrouped target."
cmc,Contraceptive Method Choice,OpenML (original UCI),openml:23,https://openml.org/data/v1/download/23/cmc.arff,"UCI CC BY 4.0 (DOI 10.24432/C59W2D); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,0a42de56db54f5e51830227dfc3efa2bee3120f2634dc623ed99dad0459ec5b3,single-label-classification,Contraceptive_method_used,1473,3,"1:629|2:333|3:511",1.8888888888888888,333,9,,mixed,False,False,False,True,"pass; target is contraceptive method; semantic categorical fields restored from UCI schema; conflicting duplicate profiles are retained survey rows",True,,"mixed;raw;class_weighted;random_over;random_under;smotenc;smotetomek;smoteenn;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/30/contraceptive%26; encoded categorical columns were manually overridden to mixed; no source group/time field is supplied; 48 duplicate full rows and 211 duplicate feature rows observed."
glass,Glass Identification,OpenML (original UCI),openml:41,https://openml.org/data/v1/download/41/glass.arff,"UCI CC BY 4.0 (DOI 10.24432/C5WW2P); OpenML public",OpenML dataset version 1; CSV materialized 2026-08-07,bb06702a7c96a667a0781150e3a70d5b3080a976cdccd7c7f242f78e23a7ad11,single-label-classification,Type,214,6,"build wind float:70|build wind non-float:76|containers:13|headlamps:29|tableware:9|vehic wind float:17",8.444444444444445,9,9,,numeric,False,False,False,True,"pass; target is glass type; no conflicting duplicate-feature groups or source group/time field identified",True,,"numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest","UCI source https://archive.ics.uci.edu/dataset/42/glass%2Bidentification; one exact duplicate row and two duplicate feature rows observed, all with consistent labels; compact numeric replacement for the timed-out letter pilot."
balance_scale,Balance Scale,OpenML (original UCI),openml:11,https://openml.org/data/v1/download/11/balance-scale.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,00875c2d2311f78d06c4a997a390839712a9f4734eb9a030a56aed9e0df887f4,single-label-classification,class,625,3,B:49|L:288|R:288,5.877551020408164,49,4,,numeric,False,False,False,False,"pass; no identifier, group, or time field",True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,UCI Balance Scale; structural floor met and no duplicate feature profiles observed. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0.
mfeat_factors,Multiple Features (Factors),OpenML (original UCI),openml:12,https://openml.org/data/v1/download/12/mfeat-factors.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,38417909bac6f47c555b9ac3560be134ee53e1c6965a3c181a85fe6ffae45bb5,single-label-classification,class,2000,10,1:200|10:200|2:200|3:200|4:200|5:200|6:200|7:200|8:200|9:200,1.0,200,216,,numeric,False,False,False,True,"pass; no identifier, group, or time field",False,"defer: corrected Stage 0 pilot replay exceeded the 900-second runtime budget at 1,043.5 seconds; revisit only through protocol-preserving optimization or an approved resource-budget amendment",numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,One representation from the UCI Multiple Features source family; other mfeat representations are excluded as related blocks. Audit metrics: duplicate_rows=6; duplicate_feature_rows=6; conflicting_feature_groups=0. Stage 0 replay runtime was 1043.5 seconds against the 900-second budget; deferred for computational feasibility review.
mfeat_fourier,Multiple Features (Fourier),OpenML (original UCI),openml:14,https://openml.org/data/v1/download/14/mfeat-fourier.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,4937f83a8d3afceaf590c9f9d23fa0db47fb1059badc523c2a1890a28ed9e1a0,single-label-classification,class,2000,10,1:200|10:200|2:200|3:200|4:200|5:200|6:200|7:200|8:200|9:200,1.0,200,76,,numeric,False,False,False,True,related-source-risk; same underlying digit cases as retained mfeat_factors,False,exclude: related feature representation from the same Multiple Features cases; retaining it would inflate correlated statistical blocks,numeric,Kept in the candidate pool to make the related-source decision explicit; no model scores were inspected. Audit metrics: duplicate_rows=6; duplicate_feature_rows=6; conflicting_feature_groups=0.
