dataset_id,display_name,source,source_id,source_url,license_or_terms,source_version,raw_sha256,task_type,target_column,n_rows,n_classes,class_counts,ir_majority_minority,n_min_class,d_raw,d_encoded,feature_type,has_missing,has_groups,has_time_order,has_duplicates,leakage_status,imbalance_band,eligible,exclusion_reason,applicable_conditions,notes
openml_6_letter,letter,OpenML,openml:6,https://openml.org/data/v1/download/6/letter.arff,OpenML public; underlying source terms recorded in OpenML description,1,04d180e7111360195943813cf6951bf037405d44cfe117132bd424fc8ee44795,single-label-classification,class,20000,26,A:789|B:766|C:736|D:805|E:768|F:775|G:773|H:734|I:755|J:747|K:739|L:761|M:792|N:783|O:753|P:803|Q:783|R:758|S:748|T:796|U:813|V:764|W:752|X:787|Y:786|Z:734,1.1076294277929155,734,16,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=1332; conflicting_feature_groups=0; numeric_columns=16; categorical_columns=0.
openml_11_balance_scale,balance-scale,OpenML,openml:11,https://openml.org/data/v1/download/11/balance-scale.arff,OpenML public; underlying source terms recorded in OpenML description,1,00875c2d2311f78d06c4a997a390839712a9f4734eb9a030a56aed9e0df887f4,single-label-classification,class,625,3,B:49|L:288|R:288,5.877551020408164,49,4,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=4; categorical_columns=0.
openml_12_mfeat_factors,mfeat-factors,OpenML,openml:12,https://openml.org/data/v1/download/12/mfeat-factors.arff,OpenML public; underlying source terms recorded in OpenML description,1,38417909bac6f47c555b9ac3560be134ee53e1c6965a3c181a85fe6ffae45bb5,single-label-classification,class,2000,10,1:200|10:200|2:200|3:200|4:200|5:200|6:200|7:200|8:200|9:200,1.0,200,216,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=6; conflicting_feature_groups=0; numeric_columns=216; categorical_columns=0.
openml_23_cmc,cmc,OpenML,openml:23,https://openml.org/data/v1/download/23/cmc.arff,OpenML public; underlying source terms recorded in OpenML description,1,0a42de56db54f5e51830227dfc3efa2bee3120f2634dc623ed99dad0459ec5b3,single-label-classification,Contraceptive_method_used,1473,3,1:629|2:333|3:511,1.8888888888888888,333,9,,mixed,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=48; conflicting_feature_groups=62; numeric_columns=2; categorical_columns=7.
openml_28_optdigits,optdigits,OpenML,openml:28,https://openml.org/data/v1/download/28/optdigits.arff,OpenML public; underlying source terms recorded in OpenML description,1,b8faefdae7b578bf8ac43c20093c36dc31cdd109fbdff642737f0edfb83bd454,single-label-classification,class,5620,10,0:554|1:571|2:557|3:572|4:568|5:558|6:558|7:566|8:554|9:562,1.032490974729242,554,64,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=64; categorical_columns=0.
openml_35_dermatology,dermatology,OpenML,openml:35,https://openml.org/data/v1/download/35/dermatology.arff,OpenML public; underlying source terms recorded in OpenML description,1,44a2db9466d17f2e3350f7f0133de23603181ccb43c94eceb85ae738406b470f,single-label-classification,class,366,6,1:112|2:61|3:72|4:49|5:52|6:20,5.6,20,34,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=1; categorical_columns=33.
openml_61_iris,iris,OpenML,openml:61,https://openml.org/data/v1/download/61/iris.arff,OpenML public; underlying source terms recorded in OpenML description,1,69a2774d46b2c322afba26d54109f90ffeeac617b0f771a168d696e66059da6c,single-label-classification,class,150,3,Iris-setosa:50|Iris-versicolor:50|Iris-virginica:50,1.0,50,4,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=3; conflicting_feature_groups=0; numeric_columns=4; categorical_columns=0.
openml_185_baseball,baseball,OpenML,openml:185,https://openml.org/data/v1/download/185/baseball.arff,OpenML public; underlying source terms recorded in OpenML description,1,c6b03ead5cc540cdacd19da9c16f490af152ac987541e54ea589957500ba7912,single-label-classification,Hall_of_Fame,1340,3,0:1215|1:57|2:68,21.31578947368421,57,16,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=15; categorical_columns=1.
openml_187_wine,wine,OpenML,openml:187,https://openml.org/data/v1/download/187/wine.arff,OpenML public; underlying source terms recorded in OpenML description,1,8b6d7891b2b42b595b92df0b10d9648260760b89aef142d7abb10f5c022e971a,single-label-classification,class,178,3,1:59|2:71|3:48,1.4791666666666667,48,13,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=13; categorical_columns=0.
openml_188_eucalyptus,eucalyptus,OpenML,openml:188,https://openml.org/data/v1/download/188/eucalyptus.arff,OpenML public; underlying source terms recorded in OpenML description,1,cfa175ef0056f1de2c6ada001ee2576573b79e283e0c71b5f6fda488e4482039,single-label-classification,Utility,736,5,average:130|best:105|good:214|low:107|none:180,2.038095238095238,105,19,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=14; categorical_columns=5.
