dataset_id,openml_data_id,display_name,source_url,source_version,n_rows,n_classes,n_min_class,ir_majority_minority,d_raw,n_numeric_features,n_symbolic_features,feature_type,imbalance_band,selection_rule
openml_6_letter,6,letter,https://openml.org/data/v1/download/6/letter.arff,1,20000,26,734,1.10762942779,16,16,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_11_balance_scale,11,balance-scale,https://openml.org/data/v1/download/11/balance-scale.arff,1,625,3,49,5.87755102041,4,4,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_12_mfeat_factors,12,mfeat-factors,https://openml.org/data/v1/download/12/mfeat-factors.arff,1,2000,10,200,1,216,216,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_23_cmc,23,cmc,https://openml.org/data/v1/download/23/cmc.arff,1,1473,3,333,1.88888888889,9,2,7,mixed,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_28_optdigits,28,optdigits,https://openml.org/data/v1/download/28/optdigits.arff,1,5620,10,554,1.03249097473,64,64,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_35_dermatology,35,dermatology,https://openml.org/data/v1/download/35/dermatology.arff,1,366,6,20,5.6,34,1,33,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_61_iris,61,iris,https://openml.org/data/v1/download/61/iris.arff,1,150,3,50,1,4,4,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_185_baseball,185,baseball,https://openml.org/data/v1/download/185/baseball.arff,1,1340,3,57,21.3157894737,16,15,1,mixed,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_187_wine,187,wine,https://openml.org/data/v1/download/187/wine.arff,1,178,3,48,1.47916666667,13,13,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_188_eucalyptus,188,eucalyptus,https://openml.org/data/v1/download/188/eucalyptus.arff,1,736,5,105,2.0380952381,19,14,5,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_327_bridges,327,bridges,https://openml.org/data/v1/download/327/bridges.arff,3,105,6,10,4.4,11,3,8,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_329_hayes_roth,329,hayes-roth,https://openml.org/data/v1/download/329/hayes-roth.arff,1,160,3,31,2.09677419355,4,4,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_338_grub_damage,338,grub-damage,https://openml.org/data/v1/download/338/grub-damage.arff,1,155,4,19,2.57894736842,8,2,6,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_373_unix_user_data,373,UNIX_user_data,https://openml.org/data/v1/download/373/UNIX_user_data.arff,1,9100,9,484,5.01033057851,2,1,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_452_analcatdata_broadwaymult,452,analcatdata_broadwaymult,https://openml.org/data/v1/download/452/analcatdata_broadwaymult.arff,1,285,7,21,5.61904761905,7,3,4,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_455_cars,455,cars,https://openml.org/data/v1/download/455/cars.arff,1,406,3,73,3.47945205479,7,6,1,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_458_analcatdata_authorship,458,analcatdata_authorship,https://openml.org/data/v1/download/458/analcatdata_authorship.arff,1,841,4,55,5.76363636364,70,70,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_473_cjs,473,cjs,https://openml.org/data/v1/download/473/cjs.arff,1,2796,6,274,2.48175182482,34,32,2,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_694_diggle_table_a2,694,diggle_table_a2,https://openml.org/data/v1/download/694/diggle_table_a2.arff,1,310,9,18,2.27777777778,8,8,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_1100_popularkids,1100,PopularKids,https://openml.org/data/v1/download/1100/PopularKids.arff,1,478,3,90,2.74444444444,10,6,4,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_1459_artificial_characters,1459,artificial-characters,https://openml.org/data/v1/download/1459/artificial-characters.arff,1,10218,10,600,2.36,7,7,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_1466_cardiotocography,1466,cardiotocography,https://openml.org/data/v1/download/1466/cardiotocography.arff,1,2126,10,53,10.9245283019,35,35,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
